"Države","Leto","Gram.CO2.na.km"
"Belgium",2000,166.5
"Denmark",2000,175.7
"Germany",2000,182.2
"Ireland",2000,161.3
"Greece",2000,180.3
"Spain",2000,159.2
"France",2000,163.6
"Italy",2000,155.1
"Luxembourg",2000,176.7
"Netherlands",2000,174.2
"Austria",2000,168
"Portugal",2000,169.2
"Finland",2000,181.1
"Sweden",2000,200
"United Kingdom",2000,185.4
"Belgium",2001,163.7
"Denmark",2001,172.9
"Germany",2001,179.5
"Ireland",2001,166.6
"Greece",2001,166.5
"Spain",2001,156.8
"France",2001,159.8
"Italy",2001,158.3
"Luxembourg",2001,177
"Netherlands",2001,174
"Austria",2001,165.6
"Finland",2001,178.1
"Sweden",2001,200.2
"United Kingdom",2001,177.9
"Belgium",2002,161.1
"Denmark",2002,170
"Germany",2002,177.4
"Ireland",2002,164.3
"Greece",2002,167.8
"Spain",2002,156.4
"France",2002,156.8
"Italy",2002,156.6
"Luxembourg",2002,173.8
"Netherlands",2002,172.4
"Austria",2002,164.4
"Portugal",2002,154
"Finland",2002,177.2
"Sweden",2002,198.2
"United Kingdom",2002,174.8
"Belgium",2003,158.1
"Denmark",2003,169
"Germany",2003,175.9
"Ireland",2003,166.7
"Greece",2003,168.9
"Spain",2003,157
"France",2003,155
"Italy",2003,152.9
"Luxembourg",2003,173.5
"Netherlands",2003,173.5
"Austria",2003,163.8
"Portugal",2003,149.9
"Finland",2003,178.3
"Sweden",2003,198.5
"United Kingdom",2003,172.7
"Belgium",2004,156.5
"Czech Republic",2004,154
"Denmark",2004,165.9
"Germany",2004,174.9
"Estonia",2004,179
"Ireland",2004,167.6
"Greece",2004,168.8
"Spain",2004,155.3
"France",2004,153.1
"Italy",2004,150
"Cyprus",2004,173.4
"Latvia",2004,192.4
"Lithuania",2004,187.5
"Luxembourg",2004,169.7
"Hungary",2004,158.5
"Malta",2004,148.8
"Netherlands",2004,171
"Austria",2004,161.9
"Poland",2004,154.1
"Portugal",2004,147.1
"Slovenia",2004,152.7
"Finland",2004,179.8
"Sweden",2004,197.2
"United Kingdom",2004,171.4
"Belgium",2005,155.2
"Czech Republic",2005,155.3
"Denmark",2005,163.7
"Germany",2005,173.4
"Estonia",2005,183.7
"Ireland",2005,166.8
"Greece",2005,167.4
"Spain",2005,155.3
"France",2005,152.3
"Italy",2005,149.5
"Cyprus",2005,173
"Latvia",2005,187.2
"Lithuania",2005,186.3
"Luxembourg",2005,168.6
"Hungary",2005,156.3
"Malta",2005,150.5
"Netherlands",2005,169.9
"Austria",2005,162.1
"Poland",2005,155.2
"Portugal",2005,144.9
"Slovenia",2005,157.2
"Slovakia",2005,157.4
"Finland",2005,179.5
"Sweden",2005,193.8
"United Kingdom",2005,169.7
"Belgium",2006,153.9
"Czech Republic",2006,154.2
"Denmark",2006,162.5
"Germany",2006,172.5
"Estonia",2006,182.7
"Ireland",2006,166.3
"Greece",2006,166.5
"Spain",2006,155.6
"France",2006,149.9
"Italy",2006,149.2
"Cyprus",2006,170.1
"Latvia",2006,183.1
"Lithuania",2006,163.4
"Luxembourg",2006,168.2
"Hungary",2006,154.6
"Malta",2006,145.9
"Netherlands",2006,166.7
"Austria",2006,163.7
"Poland",2006,155.9
"Portugal",2006,145
"Slovenia",2006,155.3
"Slovakia",2006,152
"Finland",2006,179.2
"Sweden",2006,188.6
"United Kingdom",2006,167.7
"Belgium",2007,152.8
"Bulgaria",2007,171.6
"Czech Republic",2007,154.2
"Denmark",2007,159.8
"Germany",2007,169.5
"Estonia",2007,181.6
"Ireland",2007,161.6
"Greece",2007,165.3
"Spain",2007,153.2
"France",2007,149.4
"Italy",2007,146.5
"Cyprus",2007,170.3
"Latvia",2007,183.5
"Lithuania",2007,176.5
"Luxembourg",2007,165.8
"Hungary",2007,155
"Malta",2007,147.8
"Netherlands",2007,164.8
"Austria",2007,162.9
"Poland",2007,153.7
"Portugal",2007,144.2
"Romania",2007,154.8
"Slovenia",2007,156.3
"Slovakia",2007,152.7
"Finland",2007,177.3
"Sweden",2007,181.4
