"Država","Leto","Druzina","Procenti"
"Belgium",2003,"Total",6.1
"Belgium",2003,"Single person",16.6
"Belgium",2003,"Single female",17
"Belgium",2003,"Single male",16
"Belgium",2003,"Two adults",4.8
"Belgium",2003,"Three or more adults",2.9
"Belgium",2003,"Households without dependent children",7.8
"Belgium",2003,"Households with dependent children",4.3
"Denmark",2003,"Total",8.6
"Denmark",2003,"Single person",19.7
"Denmark",2003,"Single female",19.5
"Denmark",2003,"Single male",19.8
"Denmark",2003,"Two adults",5.5
"Denmark",2003,"Three or more adults",4.9
"Denmark",2003,"Households without dependent children",11.4
"Denmark",2003,"Households with dependent children",5.7
"Ireland",2003,"Total",13
"Ireland",2003,"Single person",15.5
"Ireland",2003,"Single female",11.7
"Ireland",2003,"Single male",19.8
"Ireland",2003,"Two adults",14.6
"Ireland",2003,"Three or more adults",15.1
"Ireland",2003,"Households without dependent children",15
"Ireland",2003,"Households with dependent children",11.8
"Greece",2003,"Total",12.2
"Greece",2003,"Single person",19.6
"Greece",2003,"Single female",16.1
"Greece",2003,"Single male",26.4
"Greece",2003,"Two adults",14.7
"Greece",2003,"Three or more adults",13.1
"Greece",2003,"Households without dependent children",14.7
"Greece",2003,"Households with dependent children",9.7
"Luxembourg",2003,"Total",1.4
"Luxembourg",2003,"Single person",3.4
"Luxembourg",2003,"Single female",3.1
"Luxembourg",2003,"Single male",3.8
"Luxembourg",2003,"Two adults",2.1
"Luxembourg",2003,"Three or more adults",2
"Luxembourg",2003,"Households without dependent children",2.5
"Luxembourg",2003,"Households with dependent children",0.7
"Austria",2003,"Total",4.9
"Austria",2003,"Single person",12.3
"Austria",2003,"Single female",14.6
"Austria",2003,"Single male",9
"Austria",2003,"Two adults",5
"Austria",2003,"Three or more adults",3.8
"Austria",2003,"Households without dependent children",6.7
"Austria",2003,"Households with dependent children",3.2
"Norway",2003,"Total",5.5
"Norway",2003,"Single person",15.9
"Norway",2003,"Single female",14.6
"Norway",2003,"Single male",17.3
"Norway",2003,"Two adults",2.9
"Norway",2003,"Three or more adults",1.3
"Norway",2003,"Households without dependent children",8
"Norway",2003,"Households with dependent children",3.4
"Belgium",2004,"Total",7.4
"Belgium",2004,"Single person",16.2
"Belgium",2004,"Single female",16
"Belgium",2004,"Single male",16.3
"Belgium",2004,"Two adults",5.1
"Belgium",2004,"Three or more adults",2.6
"Belgium",2004,"Households without dependent children",7.8
"Belgium",2004,"Households with dependent children",7
"Denmark",2004,"Total",9.7
"Denmark",2004,"Single person",18.7
"Denmark",2004,"Single female",19.1
"Denmark",2004,"Single male",18.3
"Denmark",2004,"Two adults",6.4
"Denmark",2004,"Three or more adults",6
"Denmark",2004,"Households without dependent children",11.5
"Denmark",2004,"Households with dependent children",7.9
"Estonia",2004,"Total",30.7
"Estonia",2004,"Single person",42.7
"Estonia",2004,"Single female",45.7
"Estonia",2004,"Single male",37
"Estonia",2004,"Two adults",32.8
"Estonia",2004,"Three or more adults",29.3
"Estonia",2004,"Households without dependent children",34.8
"Estonia",2004,"Households with dependent children",27.6
"Ireland",2004,"Total",10.8
"Ireland",2004,"Single person",13.4
"Ireland",2004,"Single female",11.1
"Ireland",2004,"Single male",16.2
"Ireland",2004,"Two adults",12.1
"Ireland",2004,"Three or more adults",12.5
"Ireland",2004,"Households without dependent children",12.5
"Ireland",2004,"Households with dependent children",9.8
"Greece",2004,"Total",11.7
"Greece",2004,"Single person",19.6
"Greece",2004,"Single female",16.8
"Greece",2004,"Single male",24.8
