"TIME","GEO","UNIT","ENGINE","Value","Flag and Footnotes"
"1992","Belgium","Number","Total","162,000",""
"1992","Belgium","Number","125 cm³ or less",":",""
"1992","Belgium","Number","Over 125 cm³",":",""
"1992","Bulgaria","Number","Total","228,334",""
"1992","Bulgaria","Number","125 cm³ or less",":",""
"1992","Bulgaria","Number","Over 125 cm³",":",""
"1992","Czech Republic","Number","Total",":",""
"1992","Czech Republic","Number","125 cm³ or less",":",""
"1992","Czech Republic","Number","Over 125 cm³",":",""
"1992","Denmark","Number","Total","46,000",""
"1992","Denmark","Number","125 cm³ or less","13,000","d"
"1992","Denmark","Number","Over 125 cm³","33,000","d"
"1992","Germany (until 1990 former territory of the FRG)","Number","Total",":",""
"1992","Germany (until 1990 former territory of the FRG)","Number","125 cm³ or less",":",""
"1992","Germany (until 1990 former territory of the FRG)","Number","Over 125 cm³",":",""
"1992","Estonia","Number","Total","99,952",""
"1992","Estonia","Number","125 cm³ or less",":",""
"1992","Estonia","Number","Over 125 cm³",":",""
"1992","Ireland","Number","Total","24,649",""
"1992","Ireland","Number","125 cm³ or less","8,731",""
"1992","Ireland","Number","Over 125 cm³","15,918",""
"1992","Greece","Number","Total","340,000",""
"1992","Greece","Number","125 cm³ or less","134,000",""
"1992","Greece","Number","Over 125 cm³","206,000",""
"1992","Spain","Number","Total","1,252,000",""
"1992","Spain","Number","125 cm³ or less",":",""
"1992","Spain","Number","Over 125 cm³",":",""
"1992","France","Number","Total","847,000",""
"1992","France","Number","125 cm³ or less","407,000",""
"1992","France","Number","Over 125 cm³","440,000",""
"1992","Croatia","Number","Total","9,590",""
"1992","Croatia","Number","125 cm³ or less","4,235",""
"1992","Croatia","Number","Over 125 cm³","5,355",""
"1992","Italy","Number","Total","2,560,000",""
"1992","Italy","Number","125 cm³ or less","589,000",""
"1992","Italy","Number","Over 125 cm³","1,971,000",""
"1992","Cyprus","Number","Total","14,100",""
"1992","Cyprus","Number","125 cm³ or less",":",""
"1992","Cyprus","Number","Over 125 cm³",":",""
"1992","Latvia","Number","Total",":",""
"1992","Latvia","Number","125 cm³ or less",":",""
"1992","Latvia","Number","Over 125 cm³",":",""
"1992","Lithuania","Number","Total",":",""
"1992","Lithuania","Number","125 cm³ or less",":",""
"1992","Lithuania","Number","Over 125 cm³",":",""
"1992","Luxembourg","Number","Total","5,000",""
"1992","Luxembourg","Number","125 cm³ or less",":",""
"1992","Luxembourg","Number","Over 125 cm³",":",""
"1992","Hungary","Number","Total","162,761",""
"1992","Hungary","Number","125 cm³ or less","67,000",""
"1992","Hungary","Number","Over 125 cm³","96,000",""
"1992","Malta","Number","Total",":",""
