"DRZAVA","LETO","TEŽA","Vrednost"
"Belgium",1990,"Total","478,219"
"Bulgaria",1990,"Total","46,433"
"Denmark",1990,"Total","80,837"
"Germany (until 1990 former territory of the FRG)",1990,"Total","3,040,783"
"Ireland",1990,"Total","83,420"
"Greece",1990,"Total","132,487"
"Spain",1990,"Total","1,007,014"
"France",1990,"Total","2,309,130"
"Croatia",1990,"Total","66,214"
"Italy",1990,"Total","2,395,909"
"Cyprus",1990,"Total","19,532"
"Luxembourg",1990,"Total","38,648"
"Hungary",1990,"Total","143,073"
"Malta",1990,"Total","8,218"
"Netherlands",1990,"Total","502,671"
"Austria",1990,"Total","288,636"
"Poland",1990,"Total","358,055"
"Portugal",1990,"Total","212,348"
"Finland",1990,"Total","139,742"
"Sweden",1990,"Total","235,192"
"United Kingdom",1990,"Total","2,075,982"
"Norway",1990,"Total","63,668"
"Switzerland",1990,"Total","322,974"
"Former Yugoslav Republic of Macedonia, the",1990,"Total","13,809"
"Turkey",1990,"Total","218,059"
"Belgium",1991,"Total","46,766"
"Bulgaria",1991,"Total","31,093"
"Denmark",1991,"Total","83,828"
"Ireland",1991,"Total","68,533"
"Greece",1991,"Total","176,862"
"Spain",1991,"Total","914,061"
"France",1991,"Total","2,031,274"
"Croatia",1991,"Total","85,813"
"Italy",1991,"Total","2,217,257"
"Cyprus",1991,"Total","17,681"
"Luxembourg",1991,"Total","44,055"
"Netherlands",1991,"Total","490,407"
"Austria",1991,"Total","303,723"
"Poland",1991,"Total","734,885"
"Portugal",1991,"Total","231,176"
"Finland",1991,"Total","92,979"
"Sweden",1991,"Total","191,755"
"United Kingdom",1991,"Total","1,665,664"
"Norway",1991,"Total","55,111"
"Switzerland",1991,"Total","310,193"
"Former Yugoslav Republic of Macedonia, the",1991,"Total","13,069"
"Belgium",1992,"Total","485,697"
"Bulgaria",1992,"Total","44,186"
"Denmark",1992,"Total","84,170"
"Germany (until 1990 former territory of the FRG)",1992,"Total","3,929,558"
"Estonia",1992,"Total","36,284"
"Ireland",1992,"Total","67,861"
"Greece",1992,"Total","206,652"
"Spain",1992,"Total","1,008,454"
"France",1992,"Total","2,105,700"
"Croatia",1992,"Total","31,928"
"Italy",1992,"Total","2,341,402"
"Cyprus",1992,"Total","18,178"
"Luxembourg",1992,"Total","37,133"
"Hungary",1992,"Total","45,122"
"Netherlands",1992,"Total","492,130"
"Austria",1992,"Total","320,094"
"Poland",1992,"Total","471,026"
"Portugal",1992,"Total","280,035"
"Slovenia",1992,"Total","31,191"
"Finland",1992,"Total","68,891"
"Sweden",1992,"Total","157,295"
"United Kingdom",1992,"Total","1,663,846"
"Norway",1992,"Total","61,648"
"Switzerland",1992,"Total","286,289"
"Former Yugoslav Republic of Macedonia, the",1992,"Total","4,802"
"Turkey",1992,"Total","317,044"
"Belgium",1993,"Total","392,530"
"Bulgaria",1993,"Total","83,713"
"Denmark",1993,"Total","82,205"
"Germany (until 1990 former territory of the FRG)",1993,"Total","3,194,204"
"Estonia",1993,"Total","53,168"
"Ireland",1993,"Total","60,792"
"Greece",1993,"Total","155,646"
"Spain",1993,"Total","775,461"
"France",1993,"Total","1,721,222"
"Croatia",1993,"Total","59,337"
"Italy",1993,"Total","1,645,162"
"Cyprus",1993,"Total","12,968"
"Luxembourg",1993,"Total","30,679"
"Hungary",1993,"Total","63,058"
"Netherlands",1993,"Total","391,934"
"Austria",1993,"Total","285,162"
"Poland",1993,"Total","477,353"
"Portugal",1993,"Total","248,462"
"Slovenia",1993,"Total","59,878"
"Slovakia",1993,"Total","41,694"
"Finland",1993,"Total","56,003"
"Sweden",1993,"Total","127,738"
"United Kingdom",1993,"Total","1,845,714"
"Iceland",1993,"Total","5,662"
"Norway",1993,"Total","63,988"
"Switzerland",1993,"Total","256,917"
"Former Yugoslav Republic of Macedonia, the",1993,"Total","8,361"
"Turkey",1993,"Total","441,534"
"Belgium",1994,"Total","403,981"
"Bulgaria",1994,"Total","76,529"
"Denmark",1994,"Total","139,251"
"Germany (until 1990 former territory of the FRG)",1994,"Total","3,209,224"
"Estonia",1994,"Total","51,217"
"Ireland",1994,"Total","77,773"
"Greece",1994,"Total","118,088"
"Spain",1994,"Total","938,971"
"France",1994,"Total","1,972,919"
"Croatia",1994,"Total","58,499"
"Italy",1994,"Total","1,610,561"
"Cyprus",1994,"Total","13,358"
"Luxembourg",1994,"Total","30,124"
"Hungary",1994,"Total","45,833"
"Netherlands",1994,"Total","433,913"
"Austria",1994,"Total","273,663"
"Poland",1994,"Total","486,600"
"Portugal",1994,"Total","243,254"
"Slovenia",1994,"Total","47,217"
"Finland",1994,"Total","67,434"
"Sweden",1994,"Total","159,578"
"United Kingdom",1994,"Total","1,982,929"
"Iceland",1994,"Total","5,570"
"Norway",1994,"Total","91,336"
"Switzerland",1994,"Total","265,892"
"Former Yugoslav Republic of Macedonia, the",1994,"Total","10,152"
"Turkey",1994,"Total","244,289"
"Belgium",1995,"Total","370,165"
"Bulgaria",1995,"Total","56,702"
"Denmark",1995,"Total","135,058"
"Germany (until 1990 former territory of the FRG)",1995,"Total","3,314,061"
"Estonia",1995,"Total","44,471"
"Ireland",1995,"Total","82,730"
"Greece",1995,"Total","133,757"
"Spain",1995,"Total","870,497"
"France",1995,"Total","1,930,504"
"Croatia",1995,"Total","67,576"
"Italy",1995,"Total","1,766,101"
"Cyprus",1995,"Total","17,938"
"Latvia",1995,"Total","49,322"
"Lithuania",1995,"Total","154,850"
"Hungary",1995,"Total","55,970"
"Malta",1995,"Total","10,102"
"Austria",1995,"Total","279,610"
"Poland",1995,"Total","450,769"
"Portugal",1995,"Total","228,812"
"Slovenia",1995,"Total","61,700"
"Finland",1995,"Total","80,145"
"Sweden",1995,"Total","175,061"
"United Kingdom",1995,"Total","1,938,100"
"Iceland",1995,"Total","6,931"
"Liechtenstein",1995,"Total","2"
"Norway",1995,"Total","97,880"
"Switzerland",1995,"Total","267,975"
"Former Yugoslav Republic of Macedonia, the",1995,"Total","14,268"
"Turkey",1995,"Total","200,658"
"Belgium",1996,"Total","408,285"
"Bulgaria",1996,"Total","69,500"
"Denmark",1996,"Total","142,175"
"Germany (until 1990 former territory of the FRG)",1996,"Total","3,496,320"
"Estonia",1996,"Total","35,621"
"Ireland",1996,"Total","109,333"
"Greece",1996,"Total","141,589"
"Spain",1996,"Total","968,363"
"France",1996,"Total","2,132,091"
"Croatia",1996,"Total","73,584"
"Italy",1996,"Total","1,843,366"
"Cyprus",1996,"Total","20,402"
"Latvia",1996,"Total","52,112"
"Lithuania",1996,"Total","122,142"
"Hungary",1996,"Total","62,660"
"Malta",1996,"Total","10,624"
"Austria",1996,"Total","307,671"
"Poland",1996,"Total","627,349"
"Portugal",1996,"Total","268,542"
"Slovenia",1996,"Total","59,358"
"Slovakia",1996,"Total","107,576"
"Finland",1996,"Total","96,163"
"Finland",1996,"Less than 1 000 kg","9,233"
"Finland",1996,"From 1 000 to 1 249 kg","49,278"
"Finland",1996,"From 1 250 to 1 499 kg","31,395"
"Finland",1996,"1 500 kg or over","5,919"
"Sweden",1996,"Total","200,154"
"United Kingdom",1996,"Total","2,105,914"
"Iceland",1996,"Total","9,515"
"Liechtenstein",1996,"Total","2"
"Norway",1996,"Total","146,835"
"Switzerland",1996,"Total","272,214"
"Former Yugoslav Republic of Macedonia, the",1996,"Total","13,270"
"Turkey",1996,"Total","219,230"
"Bulgaria",1997,"Total","28,166"
"Denmark",1997,"Total","152,869"
"Germany (until 1990 former territory of the FRG)",1997,"Total","3,528,179"
"Estonia",1997,"Total","9,448"
"Ireland",1997,"Total","125,818"
"Greece",1997,"Total","166,778"
"Spain",1997,"Total","1,091,190"
"France",1997,"Total","1,713,030"
"Croatia",1997,"Total","109,144"
"Italy",1997,"Total","2,389,892"
"Cyprus",1997,"Total","20,290"
"Latvia",1997,"Total","71,513"
"Lithuania",1997,"Total","173,057"
"Hungary",1997,"Total","70,827"
"Malta",1997,"Total","9,226"
"Netherlands",1997,"Total","478,318"
"Austria",1997,"Total","275,001"
"Poland",1997,"Total","722,245"
"Portugal",1997,"Total","287,730"
"Romania",1997,"Total","125,142"
"Slovenia",1997,"Total","64,357"
"Slovakia",1997,"Total","85,551"
