"Drzava","Leto","Stevilo"
"Belgium",1990,478219
"Bulgaria",1990,46433
"Denmark",1990,80837
"Germany (until 1990 former territory of the FRG)",1990,3040783
"Ireland",1990,83420
"Greece",1990,132487
"Spain",1990,1007014
"France",1990,2309130
"Croatia",1990,66214
"Italy",1990,2395909
"Cyprus",1990,19532
"Luxembourg",1990,38648
"Hungary",1990,143073
"Malta",1990,8218
"Netherlands",1990,502671
"Austria",1990,288636
"Poland",1990,358055
"Portugal",1990,212348
"Finland",1990,139742
"Sweden",1990,235192
"United Kingdom",1990,2075982
"Norway",1990,63668
"Switzerland",1990,322974
"Turkey",1990,218059
"Belgium",1991,46766
"Bulgaria",1991,31093
"Denmark",1991,83828
"Ireland",1991,68533
"Greece",1991,176862
"Spain",1991,914061
"France",1991,2031274
"Croatia",1991,85813
"Italy",1991,2217257
"Cyprus",1991,17681
"Luxembourg",1991,44055
"Netherlands",1991,490407
"Austria",1991,303723
"Poland",1991,734885
"Portugal",1991,231176
"Finland",1991,92979
"Sweden",1991,191755
"United Kingdom",1991,1665664
"Norway",1991,55111
"Switzerland",1991,310193
"Belgium",1992,485697
"Bulgaria",1992,44186
"Denmark",1992,84170
"Germany (until 1990 former territory of the FRG)",1992,3929558
"Estonia",1992,36284
"Ireland",1992,67861
"Greece",1992,206652
"Spain",1992,1008454
"France",1992,2105700
"Croatia",1992,31928
"Italy",1992,2341402
"Cyprus",1992,18178
"Luxembourg",1992,37133
"Hungary",1992,45122
"Netherlands",1992,492130
"Austria",1992,320094
"Poland",1992,471026
"Portugal",1992,280035
"Slovenia",1992,31191
"Finland",1992,68891
"Sweden",1992,157295
"United Kingdom",1992,1663846
"Norway",1992,61648
"Switzerland",1992,286289
"Turkey",1992,317044
"Belgium",1993,392530
"Bulgaria",1993,83713
"Denmark",1993,82205
"Germany (until 1990 former territory of the FRG)",1993,3194204
"Estonia",1993,53168
"Ireland",1993,60792
"Greece",1993,155646
"Spain",1993,775461
"France",1993,1721222
"Croatia",1993,59337
"Italy",1993,1645162
"Cyprus",1993,12968
"Luxembourg",1993,30679
"Hungary",1993,63058
"Netherlands",1993,391934
"Austria",1993,285162
"Poland",1993,477353
"Portugal",1993,248462
"Slovenia",1993,59878
"Slovakia",1993,41694
"Finland",1993,56003
"Sweden",1993,127738
"United Kingdom",1993,1845714
"Iceland",1993,5662
"Norway",1993,63988
"Switzerland",1993,256917
"Turkey",1993,441534
"Belgium",1994,403981
"Bulgaria",1994,76529
"Denmark",1994,139251
"Germany (until 1990 former territory of the FRG)",1994,3209224
"Estonia",1994,51217
"Ireland",1994,77773
"Greece",1994,118088
"Spain",1994,938971
"France",1994,1972919
"Croatia",1994,58499
"Italy",1994,1610561
"Cyprus",1994,13358
"Luxembourg",1994,30124
"Hungary",1994,45833
"Netherlands",1994,433913
"Austria",1994,273663
"Poland",1994,486600
"Portugal",1994,243254
"Slovenia",1994,47217
"Finland",1994,67434
"Sweden",1994,159578
"United Kingdom",1994,1982929
"Iceland",1994,5570
"Norway",1994,91336
"Switzerland",1994,265892
"Turkey",1994,244289
"Belgium",1995,370165
"Bulgaria",1995,56702
"Denmark",1995,135058
"Germany (until 1990 former territory of the FRG)",1995,3314061
"Estonia",1995,44471
"Ireland",1995,82730
"Greece",1995,133757
"Spain",1995,870497
"France",1995,1930504
"Croatia",1995,67576
"Italy",1995,1766101
"Cyprus",1995,17938
"Latvia",1995,49322
"Lithuania",1995,154850
"Hungary",1995,55970
"Malta",1995,10102
"Austria",1995,279610
"Poland",1995,450769
"Portugal",1995,228812
"Slovenia",1995,61700
"Finland",1995,80145
"Sweden",1995,175061
"United Kingdom",1995,1938100
"Iceland",1995,6931
"Liechtenstein",1995,2
"Norway",1995,97880
"Switzerland",1995,267975
"Turkey",1995,200658
"Belgium",1996,408285
"Bulgaria",1996,69500
"Denmark",1996,142175
"Germany (until 1990 former territory of the FRG)",1996,3496320
"Estonia",1996,35621
"Ireland",1996,109333
"Greece",1996,141589
"Spain",1996,968363
"France",1996,2132091
"Croatia",1996,73584
"Italy",1996,1843366
"Cyprus",1996,20402
"Latvia",1996,52112
"Lithuania",1996,122142
"Hungary",1996,62660
"Malta",1996,10624
"Austria",1996,307671
"Poland",1996,627349
"Portugal",1996,268542
"Slovenia",1996,59358
"Slovakia",1996,107576
"Finland",1996,96163
"Sweden",1996,200154
"United Kingdom",1996,2105914
"Iceland",1996,9515
"Liechtenstein",1996,2
"Norway",1996,146835
"Switzerland",1996,272214
