"Država","Leto","Starost","Število"
"Belgium",1990,"Total","3,864,000"
"Bulgaria",1990,"Total","1,317,000"
"Czech Republic",1990,"Total","2,411,000"
"Denmark",1990,"Total","1,590,000"
"Germany (until 1990 former territory of the FRG)",1990,"Total","30,685,000"
"Estonia",1990,"Total","241,664"
"Ireland",1990,"Total","797,713"
"Ireland",1990,"Less than 2 years","207,000"
"Ireland",1990,"From 2 to 5 years","166,000"
"Ireland",1990,"From 5 to 10 years","306,000"
"Ireland",1990,"Over 10 years","117,000"
"Greece",1990,"Total","1,736,000"
"Spain",1990,"Total","11,996,000"
"France",1990,"Total","23,550,000"
"Croatia",1990,"Total","795,000"
"Italy",1990,"Total","27,416,000"
"Cyprus",1990,"Total","179,000"
"Latvia",1990,"Total","331,837"
"Lithuania",1990,"Total","492,980"
"Luxembourg",1990,"Total","192,000"
"Hungary",1990,"Total","1,944,553"
"Malta",1990,"Total","109,131"
"Netherlands",1990,"Total","5,509,000"
"Austria",1990,"Total","2,991,000"
"Poland",1990,"Total","5,260,646"
"Portugal",1990,"Total","2,552,000"
"Romania",1990,"Total","1,263,000"
"Slovenia",1990,"Total","578,268"
"Slovakia",1990,"Total","1,274,244"
"Finland",1990,"Total","1,939,000"
"Sweden",1990,"Total","3,600,000"
"United Kingdom",1990,"Total","20,722,000"
"Iceland",1990,"Total","120,000"
"Liechtenstein",1990,"Total","16,890"
"Norway",1990,"Total","1,613,000"
"Switzerland",1990,"Total","2,985,000"
"Former Yugoslav Republic of Macedonia, the",1990,"Total","230,774"
"Turkey",1990,"Total","1,649,879"
"Belgium",1991,"Total","3,970,000"
"Bulgaria",1991,"Total","1,359,000"
"Denmark",1991,"Total","1,594,000"
"Germany (until 1990 former territory of the FRG)",1991,"Total","31,322,000"
"Estonia",1991,"Total","261,086"
"Ireland",1991,"Total","836,583"
"Greece",1991,"Total","1,777,000"
"Spain",1991,"Total","12,537,000"
"France",1991,"Total","23,810,000"
"Croatia",1991,"Total","735,650"
"Italy",1991,"Total","28,519,000"
"Cyprus",1991,"Total","190,000"
"Latvia",1991,"Total","328,450"
"Lithuania",1991,"Total","530,820"
"Luxembourg",1991,"Total","201,000"
"Hungary",1991,"Total","2,015,455"
"Malta",1991,"Total","121,699"
"Netherlands",1991,"Total","5,569,000"
"Austria",1991,"Total","3,100,000"
"Poland",1991,"Total","6,112,171"
"Portugal",1991,"Total","2,775,000"
"Romania",1991,"Total","1,431,566"
"Slovenia",1991,"Total","594,289"
"Slovakia",1991,"Total","906,129"
"Finland",1991,"Total","1,923,000"
"Sweden",1991,"Total","3,619,000"
"United Kingdom",1991,"Total","20,760,000"
"Iceland",1991,"Total","121,000"
"Liechtenstein",1991,"Total","17,330"
"Norway",1991,"Total","1,615,000"
"Switzerland",1991,"Total","3,058,000"
"Former Yugoslav Republic of Macedonia, the",1991,"Total","249,654"
"Turkey",1991,"Total","1,864,344"
"Belgium",1992,"Total","4,021,000"
"Belgium",1992,"Less than 2 years","697,000"
"Belgium",1992,"From 2 to 5 years","1,177,000"
"Belgium",1992,"From 5 to 10 years","1,418,000"
"Belgium",1992,"Over 10 years","729,000"
"Bulgaria",1992,"Total","1,411,000"
"Denmark",1992,"Total","1,605,000"
"Estonia",1992,"Total","283,469"
"Ireland",1992,"Total","858,498"
"Greece",1992,"Total","1,829,000"
"Spain",1992,"Total","13,102,000"
"France",1992,"Total","24,020,000"
"Croatia",1992,"Total","669,761"
"Italy",1992,"Total","29,430,000"
"Cyprus",1992,"Total","198,000"
"Latvia",1992,"Total","350,000"
"Lithuania",1992,"Total","565,320"
"Luxembourg",1992,"Total","209,000"
"Hungary",1992,"Total","2,058,334"
"Malta",1992,"Total","125,037"
"Netherlands",1992,"Total","5,658,000"
"Austria",1992,"Total","3,245,000"
"Poland",1992,"Total","6,504,716"
"Portugal",1992,"Total","3,050,000"
"Romania",1992,"Total","1,593,029"
"Slovenia",1992,"Total","606,000"
"Slovenia",1992,"Less than 2 years","83,000"
"Slovenia",1992,"From 2 to 5 years","189,000"
"Slovenia",1992,"From 5 to 10 years","172,000"
"Slovenia",1992,"Over 10 years","162,000"
"Slovakia",1992,"Total","953,239"
"Finland",1992,"Total","1,936,000"
"Sweden",1992,"Total","3,587,000"
"United Kingdom",1992,"Total","20,970,000"
"Iceland",1992,"Total","120,000"
"Liechtenstein",1992,"Total","17,700"
"Norway",1992,"Total","1,619,000"
"Switzerland",1992,"Total","3,091,000"
"Former Yugoslav Republic of Macedonia, the",1992,"Total","279,861"
"Turkey",1992,"Total","2,181,388"
"Belgium",1993,"Total","4,110,000"
"Belgium",1993,"Less than 2 years","647,000"
