;;;;;;;;;;;;;;;;;;;
;;;;;NEW PC REGISTRATIONS OR SALES;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;Estimated figures;;;;;;;;;;;;;;;
REGIONS/COUNTRIES;;;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;;;;
;;;;;;;;;;;;;;;;;;;
EUROPE;;;;17.906.455;18.685.556;19.618.588;18.821.599;16.608.761;16.499.863;17.167.600;16.191.269;15.942.273;16.154.279;16.410.563;17.291.819;;;;
EU 28 countries + EFTA;;;;15.622.035;15.961.138;16.147.274;14.911.880;14.533.115;13.830.694;13.642.659;12.567.903;12.344.415;13.061.461;14.287.881;15.160.239;;;;
EU 15 countries + EFTA;;;;14.565.695;14.820.182;14.842.186;13.602.038;13.668.808;12.984.549;12.815.435;11.773.281;11.555.153;12.148.648;13.261.258;13.971.468;;;;
AUSTRIA;;;;307.915;308.594;298.182;293.697;319.403;328.563;356.145;336.010;319.035;303.318;308.555;329.604;;;;
BELGIUM;;;;480.088;526.141;524.795;535.947;476.194;547.340;572.211;486.737;486.065;482.939;501.066;539.519;;;;
DENMARK;;;;148.819;156.936;162.686;150.199;112.454;153.858;170.036;170.763;182.086;189.055;207.717;222.924;;;;
FINLAND;;;;148.161;145.700;125.608;139.669;90.574;111.968;126.123;111.251;103.455;106.237;108.819;118.991;;;;
FRANCE;;;;2.118.042;2.045.745;2.109.672;2.091.369;2.302.398;2.251.669;2.204.229;1.898.760;1.790.456;1.795.885;1.917.226;2.015.177;;;;
GERMANY;;;;3.319.259;3.467.961;3.148.163;3.090.040;3.807.175;2.916.259;3.173.634;3.082.504;2.952.431;3.036.773;3.206.042;3.351.607;;;;
GREECE;;;;269.728;267.669;279.745;267.295;219.730;141.501;97.680;58.482;58.694;71.218;75.805;78.873;;;;
ICELAND;;;;18.060;17.129;15.942;9.033;2.113;3.106;5.038;7.902;7.274;9.537;14.004;18.442;;;;
IRELAND;;;;171.742;178.484;186.325;151.607;57.453;88.446;89.911;79.498;74.367;96.284;124.804;146.600;;;;
ITALY;;;;2.244.108;2.335.462;2.494.115;2.161.359;2.159.465;1.961.580;1.749.740;1.403.010;1.304.648;1.360.578;1.575.737;1.824.968;;;;
LUXEMBOURG;;;;48.517;50.837;51.332;52.359;47.265;49.726;49.881;50.398;46.624;49.793;46.473;50.561;;;;
NETHERLANDS;;;;465.196;483.999;504.300;499.980;387.699;482.531;555.812;502.454;417.036;387.553;449.350;382.825;;;;
NORWAY;;;;109.907;109.164;129.195;110.617;98.675;127.754;138.345;137.967;142.151;144.202;150.686;154.603;;;;
PORTUGAL;;;;206.488;194.702;201.816;213.389;161.013;223.464;153.404;95.309;105.921;142.826;178.503;207.345;;;;
SPAIN;;;;1.528.877;1.634.608;1.614.835;1.161.176;952.772;982.015;808.051;699.589;722.689;890.125;1.094.077;1.147.007;;;;
SWEDEN;;;;274.301;282.766;306.794;253.982;213.408;289.684;304.984;279.899;269.599;303.948;345.108;372.318;;;;
SWITZERLAND (+FL);;;;266.770;269.421;284.674;288.525;266.018;294.239;318.958;328.139;307.885;301.942;323.783;317.318;;;;
