"","Drzava","Leto","Teza","Vrednost"
"1","Denmark",2000,"Less than 1 000 kg",953000
"2","Denmark",2000,"From 1 000 to 1 249 kg",574000
"3","Denmark",2000,"From 1 250 to 1 499 kg",292000
"4","Denmark",2000,"1 500 kg or over",35000
"5","France",2000,"Less than 1 000 kg",14293000
"6","France",2000,"From 1 000 to 1 249 kg",8812000
"7","France",2000,"From 1 250 to 1 499 kg",3884000
"8","France",2000,"1 500 kg or over",1071000
"9","Latvia",2000,"Less than 1 000 kg",196800
"10","Latvia",2000,"From 1 000 to 1 249 kg",260900
"11","Latvia",2000,"From 1 250 to 1 499 kg",73000
"12","Latvia",2000,"1 500 kg or over",26100
"13","Luxembourg",2000,"Less than 1 000 kg",67010
"14","Luxembourg",2000,"From 1 000 to 1 249 kg",83380
"15","Luxembourg",2000,"From 1 250 to 1 499 kg",75970
"16","Luxembourg",2000,"1 500 kg or over",46730
"17","Hungary",2000,"Less than 1 000 kg",1628000
"18","Hungary",2000,"From 1 000 to 1 249 kg",565000
"19","Hungary",2000,"From 1 250 to 1 499 kg",125000
"20","Hungary",2000,"1 500 kg or over",47000
"21","Netherlands",2000,"Less than 1 000 kg",3225000
"22","Netherlands",2000,"From 1 000 to 1 249 kg",2224000
"23","Netherlands",2000,"From 1 250 to 1 499 kg",845000
"24","Netherlands",2000,"1 500 kg or over",246000
"25","Finland",2000,"Less than 1 000 kg",732000
"26","Finland",2000,"From 1 000 to 1 249 kg",836000
"27","Finland",2000,"From 1 250 to 1 499 kg",426000
"28","Finland",2000,"1 500 kg or over",126000
"29","Sweden",2000,"Less than 1 000 kg",389000
"30","Sweden",2000,"From 1 000 to 1 249 kg",1156000
"31","Sweden",2000,"From 1 250 to 1 499 kg",1707000
"32","Sweden",2000,"1 500 kg or over",747000
"33","Iceland",2000,"Less than 1 000 kg",37000
"34","Iceland",2000,"From 1 000 to 1 249 kg",63000
"35","Iceland",2000,"From 1 250 to 1 499 kg",29000
"36","Iceland",2000,"1 500 kg or over",29000
"37","Liechtenstein",2000,"Less than 1 000 kg",4000
"38","Liechtenstein",2000,"From 1 000 to 1 249 kg",6000
"39","Liechtenstein",2000,"From 1 250 to 1 499 kg",6000
"40","Liechtenstein",2000,"1 500 kg or over",5000
"41","Switzerland",2000,"Less than 1 000 kg",459000
"42","Switzerland",2000,"From 1 000 to 1 249 kg",769000
"43","Switzerland",2000,"From 1 250 to 1 499 kg",987000
"44","Switzerland",2000,"1 500 kg or over",1331000
"45","Denmark",2001,"Less than 1 000 kg",916000
"46","Denmark",2001,"From 1 000 to 1 249 kg",592000
"47","Denmark",2001,"From 1 250 to 1 499 kg",326000
"48","Denmark",2001,"1 500 kg or over",39000
"49","France",2001,"Less than 1 000 kg",14450000
"50","France",2001,"From 1 000 to 1 249 kg",9061000
"51","France",2001,"From 1 250 to 1 499 kg",4050000
"52","France",2001,"1 500 kg or over",1139000
"53","Latvia",2001,"Less than 1 000 kg",202600
"54","Latvia",2001,"From 1 000 to 1 249 kg",274600
"55","Latvia",2001,"From 1 250 to 1 499 kg",79100
"56","Latvia",2001,"1 500 kg or over",29900
"57","Luxembourg",2001,"Less than 1 000 kg",61000
"58","Luxembourg",2001,"From 1 000 to 1 249 kg",83000
"59","Luxembourg",2001,"From 1 250 to 1 499 kg",82000
"60","Luxembourg",2001,"1 500 kg or over",55000
"61","Hungary",2001,"Less than 1 000 kg",1641600
"62","Hungary",2001,"From 1 000 to 1 249 kg",633900
"63","Hungary",2001,"From 1 250 to 1 499 kg",149800
"64","Hungary",2001,"1 500 kg or over",57500
"65","Netherlands",2001,"Less than 1 000 kg",3141000
"66","Netherlands",2001,"From 1 000 to 1 249 kg",2318000
"67","Netherlands",2001,"From 1 250 to 1 499 kg",963000
"68","Netherlands",2001,"1 500 kg or over",288000
"69","Finland",2001,"Less than 1 000 kg",685000
"70","Finland",2001,"From 1 000 to 1 249 kg",846000
"71","Finland",2001,"From 1 250 to 1 499 kg",470000
