"Država","Leto","Gorivo","Število"
"Belgium",1990,"Total","3,864,000"
"Bulgaria",1990,"Total","1,317,000"
"Czech Republic",1990,"Total","2,411,000"
"Denmark",1990,"Total","1,590,000"
"Germany (until 1990 former territory of the FRG)",1990,"Total","30,685,000"
"Estonia",1990,"Total","241,664"
"Ireland",1990,"Total","797,713"
"Ireland",1990,"All Petroleum Products","721,000"
"Ireland",1990,"Diesel","73,000"
"Greece",1990,"Total","1,736,000"
"Spain",1990,"Total","11,996,000"
"France",1990,"Total","23,550,000"
"France",1990,"Diesel","3,775,000"
"Croatia",1990,"Total","795,000"
"Italy",1990,"Total","27,416,000"
"Cyprus",1990,"Total","179,000"
"Cyprus",1990,"All Petroleum Products","167,000"
"Cyprus",1990,"LPG","0"
"Cyprus",1990,"Diesel","12,000"
"Cyprus",1990,"Electrical Energy","0"
"Latvia",1990,"Total","331,837"
"Latvia",1990,"All Petroleum Products","325,300"
"Latvia",1990,"Diesel","6,400"
"Latvia",1990,"Electrical Energy","0"
"Lithuania",1990,"Total","492,980"
"Luxembourg",1990,"Total","192,000"
"Hungary",1990,"Total","1,944,553"
"Hungary",1990,"All Petroleum Products","1,929,944"
"Hungary",1990,"Diesel","14,609"
"Hungary",1990,"Electrical Energy","0"
"Malta",1990,"Total","109,131"
"Netherlands",1990,"Total","5,509,000"
"Austria",1990,"Total","2,991,000"
"Austria",1990,"All Petroleum Products","2,582,000"
"Austria",1990,"Diesel","409,000"
"Poland",1990,"Total","5,260,646"
"Portugal",1990,"Total","2,552,000"
"Romania",1990,"Total","1,263,000"
"Slovenia",1990,"Total","578,268"
"Slovakia",1990,"Total","1,274,244"
"Finland",1990,"Total","1,939,000"
"Finland",1990,"All Petroleum Products","1,768,000"
"Finland",1990,"Diesel","155,000"
"Finland",1990,"Electrical Energy","0"
"Sweden",1990,"Total","3,600,000"
"Sweden",1990,"All Petroleum Products","3,494,000"
"Sweden",1990,"Diesel","105,000"
"United Kingdom",1990,"Total","20,722,000"
"Iceland",1990,"Total","120,000"
"Iceland",1990,"All Petroleum Products","114,000"
"Iceland",1990,"Diesel","6,000"
"Iceland",1990,"Electrical Energy","0"
"Liechtenstein",1990,"Total","16,890"
"Norway",1990,"Total","1,613,000"
"Norway",1990,"All Petroleum Products","1,564,000"
"Norway",1990,"Diesel","49,000"
"Switzerland",1990,"Total","2,985,000"
"Switzerland",1990,"All Petroleum Products","2,905,000"
"Switzerland",1990,"Diesel","79,000"
"Switzerland",1990,"Electrical Energy","1,000"
"Former Yugoslav Republic of Macedonia, the",1990,"Total","230,774"
"Former Yugoslav Republic of Macedonia, the",1990,"All Petroleum Products","225,004"
"Former Yugoslav Republic of Macedonia, the",1990,"Diesel","4,393"
"Former Yugoslav Republic of Macedonia, the",1990,"Electrical Energy","0"
"Turkey",1990,"Total","1,649,879"
"Belgium",1991,"Total","3,970,000"
"Bulgaria",1991,"Total","1,359,000"
"Denmark",1991,"Total","1,594,000"
"Germany (until 1990 former territory of the FRG)",1991,"Total","31,322,000"
"Germany (until 1990 former territory of the FRG)",1991,"All Petroleum Products","27,057,000"
"Germany (until 1990 former territory of the FRG)",1991,"Diesel","4,250,000"
"Germany (until 1990 former territory of the FRG)",1991,"Electrical Energy","1,000"
"Estonia",1991,"Total","261,086"
"Ireland",1991,"Total","836,583"
"Greece",1991,"Total","1,777,000"
"Spain",1991,"Total","12,537,000"
"France",1991,"Total","23,810,000"
"France",1991,"Diesel","4,275,000"
"Croatia",1991,"Total","735,650"
"Italy",1991,"Total","28,519,000"
"Cyprus",1991,"Total","190,000"
"Cyprus",1991,"LPG","0"
"Cyprus",1991,"Electrical Energy","0"
"Latvia",1991,"Total","328,450"
"Lithuania",1991,"Total","530,820"
"Luxembourg",1991,"Total","201,000"
"Hungary",1991,"Total","2,015,455"
"Malta",1991,"Total","121,699"
"Netherlands",1991,"Total","5,569,000"
"Austria",1991,"Total","3,100,000"
"Austria",1991,"All Petroleum Products","2,641,000"
"Austria",1991,"Diesel","459,000"
"Poland",1991,"Total","6,112,171"
"Portugal",1991,"Total","2,775,000"
"Romania",1991,"Total","1,431,566"
"Slovenia",1991,"Total","594,289"
"Slovakia",1991,"Total","906,129"
"Finland",1991,"Total","1,923,000"
"Finland",1991,"All Petroleum Products","1,755,000"
"Finland",1991,"Diesel","152,000"
"Finland",1991,"Electrical Energy","0"
"Sweden",1991,"Total","3,619,000"
"Sweden",1991,"All Petroleum Products","3,519,000"
"Sweden",1991,"Diesel","99,000"
"United Kingdom",1991,"Total","20,760,000"
"Iceland",1991,"Total","121,000"
"Iceland",1991,"All Petroleum Products","115,000"
