"Znamka","Leto","St.prodanih","Delez.na.trgu(%)"
"Alfa Romeo",1990,203787,1.51
"Audi",1990,369189,2.73
"BMW",1990,363598,2.69
"Citroen",1990,639303,4.73
"Fiat",1990,1339953,9.91
"Ford",1990,1536912,11.37
"Honda",1990,163393,1.21
"Jaguar",1990,18448,0.14
"Lancia",1990,300087,2.22
"Mazda",1990,281078,2.08
"Mercedes Benz",1990,438077,3.24
"Nissan",1990,395400,2.93
"Opel",1990,1548255,11.45
"Peugeot",1990,1079450,7.99
"Renault",1990,1315495,9.73
"Land Rover",1990,28088,0.21
"Seat",1990,313718,2.32
"Skoda",1990,29152,0.22
"Toyota",1990,363285,2.69
"Volkswagen",1990,1406891,0
"Volvo",1990,234539,1.74
"Alfa Romeo",1991,180035,1.34
"Audi",1991,395382,2.95
"BMW",1991,413831,3.08
"Citroen",1991,611417,4.56
"Fiat",1991,1205041,8.98
"Ford",1991,1587798,11.84
"Honda",1991,172228,1.28
"Jaguar",1991,12050,0.09
"Lancia",1991,265172,1.98
"Mazda",1991,285011,2.12
"Mercedes Benz",1991,453727,3.38
"Nissan",1991,443171,3.3
"Opel",1991,1553637,11.58
"Peugeot",1991,1013247,7.55
"Renault",1991,1343241,10.01
"Land Rover",1991,24414,0.18
"Seat",1991,313710,2.34
"Skoda",1991,47689,0.36
"Toyota",1991,362002,2.7
"Volkswagen",1991,1447522,0
"Volvo",1991,198697,1.48
"Alfa Romeo",1992,156184,1.16
"Audi",1992,414938,3.07
"BMW",1992,444155,3.29
"Citroen",1992,645253,4.78
"Fiat",1992,1190770,8.82
"Ford",1992,1509898,11.19
"Honda",1992,176851,1.31
"Jaguar",1992,10732,0.08
"Lancia",1992,223127,1.65
"Mazda",1992,268807,1.99
"Mercedes Benz",1992,411143,3.05
"Nissan",1992,440601,3.26
"Opel",1992,1617551,11.98
"Peugeot",1992,993368,7.36
"Renault",1992,1432445,10.61
"Land Rover",1992,24669,0.18
"Seat",1992,326650,2.42
"Skoda",1992,51344,0.38
"Toyota",1992,339180,2.51
"Volkswagen",1992,1574089,0
"Volvo",1992,200558,1.49
"Alfa Romeo",1993,114292,1.02
"Audi",1993,308060,2.74
"BMW",1993,366800,3.26
"Citroen",1993,552635,4.91
"Fiat",1993,882259,7.84
"Ford",1993,1293403,11.49
"Honda",1993,161673,1.44
"Jaguar",1993,10787,0.1
"Lancia",1993,163636,1.45
"Mazda",1993,192317,1.71
"Mercedes Benz",1993,354718,3.15
"Nissan",1993,399235,3.55
"Opel",1993,1422720,12.64
"Peugeot",1993,839880,7.46
"Renault",1993,1195732,10.63
"Land Rover",1993,29839,0.27
"Seat",1993,262536,2.33
"Skoda",1993,51290,0.46
"Toyota",1993,315508,2.8
"Volkswagen",1993,1212689,0
"Volvo",1993,171612,1.53
"Alfa Romeo",1994,101548,0.85
"Audi",1994,312690,2.62
"BMW",1994,387855,3.25
"Citroen",1994,609103,5.1
"Fiat",1994,1013732,8.49
"Ford",1994,1403670,11.76
"Honda",1994,168152,1.41
"Jaguar",1994,10903,0.09
"Lancia",1994,163535,1.37
"Mazda",1994,168152,1.41
"Mercedes Benz",1994,419934,3.52
"Nissan",1994,387698,3.25
"Opel",1994,1489507,12.48
"Peugeot",1994,920906,7.71
"Renault",1994,1308986,10.97
"Land Rover",1994,33971,0.28
"Seat",1994,301123,2.52
"Skoda",1994,57731,0.48
"Toyota",1994,312835,2.62
"Volkswagen",1994,1217235,0
"Volvo",1994,200602,1.68
"Alfa Romeo",1995,130358,1.08
"Audi",1995,376980,3.13
"BMW",1995,392588,3.26
"Citroen",1995,579176,4.81
"Fiat",1995,1027562,8.54
"Ford",1995,1410289,11.72
"Honda",1995,177050,1.47
"Jaguar",1995,15973,0.13
"Jeep",1995,24019,0.2
"Lancia",1995,162416,1.35
"Mazda",1995,163794,1.36
"Mercedes Benz",1995,404618,3.36
"Nissan",1995,366608,3.05
"Opel",1995,1502346,12.48
"Peugeot",1995,861696,7.16
"Renault",1995,1241584,10.32
"Land Rover",1995,42401,0.35
"Seat",1995,287721,2.39
"Skoda",1995,64616,0.54
"Toyota",1995,306258,2.54
"Volkswagen",1995,1287799,0
"Volvo",1995,218447,1.82
"Alfa Romeo",1996,117543,0.92
"Audi",1996,411213,3.21
"BMW",1996,428759,3.35
"Citroen",1996,621407,4.85
"Fiat",1996,1140780,8.91
"Ford",1996,1466791,11.45
"Honda",1996,193195,1.51
"Jaguar",1996,14983,0.12
"Jeep",1996,28529,0.22
"Lancia",1996,159251,1.24
"Mazda",1996,172334,1.35
"Mercedes Benz",1996,462726,3.61
"Nissan",1996,369930,2.89
"Opel",1996,1532746,11.97
"Peugeot",1996,906788,7.08
"Renault",1996,1290208,10.08
"Land Rover",1996,41099,0.32
"Seat",1996,285120,2.23
"Skoda",1996,81540,0.64
"Toyota",1996,333935,2.61
"Volkswagen",1996,1419469,0
"Volvo",1996,206173,1.61
"Alfa Romeo",1997,128107,0.95
"Aston Martin",1997,488,0
"Audi",1997,460721,3.42
"BMW",1997,430694,3.2
"Citroen",1997,625671,4.64
"Ferrari",1997,1996,0.01
"Fiat",1997,1272570,9.44
"Ford",1997,1491688,11.07
"Honda",1997,217188,1.61
"Hyundai",1997,149676,1.11
"Jaguar",1997,17222,0.13
"Jeep",1997,34611,0.26
"Kia",1997,37395,0.28
"Lancia",1997,176211,1.31
"Lexus",1997,3408,0.03
"Mazda",1997,184726,1.37
"Mercedes Benz",1997,489373,3.63
"Nissan",1997,420338,3.12
"Opel",1997,1566430,11.62
"Peugeot",1997,889555,6.6
"Porsche",1997,17303,0.13
"Renault",1997,1325864,9.84
"Land Rover",1997,47988,0.36
"Seat",1997,332616,2.47
"Skoda",1997,115249,0.86
"Subaru",1997,45893,0.34
"Suzuki",1997,138739,1.03
"Toyota",1997,379169,2.81
"Volkswagen",1997,1385501,10.28
"Volvo",1997,231307,1.72
"Alfa Romeo",1998,172675,1.19
"Aston Martin",1998,425,0
"Audi",1998,486734,3.37
"BMW",1998,444979,3.08
"Citroen",1998,680771,4.71
"Ferrari",1998,1934,0.01
"Fiat",1998,1219149,8.43
"Ford",1998,1432848,9.91
"Honda",1998,216451,1.5
"Hyundai",1998,199466,1.38
"Jaguar",1998,20309,0.14
"Jeep",1998,33003,0.23
"Kia",1998,36670,0.25
"Lancia",1998,184841,1.28
"Lexus",1998,6938,0.05
"Mazda",1998,215082,1.49
"Mercedes Benz",1998,620754,4.29
"Nissan",1998,439870,3.04
"Opel",1998,1567894,10.84
"Peugeot",1998,947094,6.55
"Porsche",1998,18437,0.13
"Renault",1998,1541891,10.66
"Land Rover",1998,75004,0.52
"Seat",1998,361423,2.5
"Skoda",1998,157627,1.09
"Subaru",1998,52891,0.37
"Suzuki",1998,156828,1.08
"Toyota",1998,434440,3
"Volkswagen",1998,1577306,10.91
"Volvo",1998,238414,1.65
"Alfa Romeo",1999,180154,1.18
"Aston Martin",1999,485,0
"Audi",1999,514825,3.36
"BMW",1999,484164,3.16
"Citroen",1999,706480,4.61
"Ferrari",1999,1973,0.01
"Fiat",1999,1109513,7.25
"Ford",1999,1411878,9.22
"Honda",1999,217358,1.42
"Hyundai",1999,228757,1.49
"Jaguar",1999,30686,0.2
"Jeep",1999,39789,0.26
"Kia",1999,68861,0.45
"Lancia",1999,142710,0.93
"Lexus",1999,15800,0.1
"Mazda",1999,216430,1.41
"Mercedes Benz",1999,683919,4.47
"Nissan",1999,416860,2.72
"Opel",1999,1672578,10.93
"Peugeot",1999,1124645,7.35
"Porsche",1999,20017,0.13
"Renault",1999,1662226,10.86
"Land Rover",1999,96672,0.63
"Seat",1999,416386,2.72
"Skoda",1999,184736,1.21
"Subaru",1999,59554,0.39
"Suzuki",1999,196158,1.28
"Toyota",1999,478645,3.13
"Volkswagen",1999,1738201,11.35
"Volvo",1999,241771,1.58
"Alfa Romeo",2000,176389,1.17
"Aston Martin",2000,691,0
"Audi",2000,488376,3.25
"BMW",2000,497328,3.31
"Citroen",2000,767618,5.11
"Ferrari",2000,2224,0.01
"Fiat",2000,1128738,7.52
"Ford",2000,1252561,8.34
"Honda",2000,189972,1.26
"Hyundai",2000,219510,1.46
"Jaguar",2000,34995,0.23
"Jeep",2000,36140,0.24
"Kia",2000,84559,0.56
"Lancia",2000,173758,1.16
"Lexus",2000,17214,0.11
"Mazda",2000,182212,1.21
"Mercedes Benz",2000,710260,4.73
"Mini",2000,18,0
"Nissan",2000,427528,2.85
"Opel",2000,1537067,10.23
"Peugeot",2000,1173262,7.81
"Porsche",2000,22205,0.15
"Renault",2000,1569349,10.45
"Land Rover",2000,92813,0.62
"Seat",2000,434860,2.9
"Skoda",2000,224675,1.5
"Subaru",2000,45219,0.3
"Suzuki",2000,179198,1.19
"Toyota",2000,594946,3.6
"Volkswagen",2000,1629687,10.85
"Volvo",2000,230979,1.54
"Alfa Romeo",2001,205431,1.36
"Aston Martin",2001,763,0.01
"Audi",2001,541799,3.6
"BMW",2001,521635,3.46
"Citroen",2001,865179,5.75
"Ferrari",2001,2025,0.01
"Fiat",2001,1067855,7.09
"Ford",2001,1314467,8.73
"Honda",2001,160755,1.07
"Hyundai",2001,213245,1.42
"Jaguar",2001,43605,0.29
"Jeep",2001,28734,0.19
"Kia",2001,72267,0.48
"Lancia",2001,147358,0.98
"Lexus",2001,21357,0.14
"Mazda",2001,140135,0.93
"Mercedes Benz",2001,741318,4.92
"Mini",2001,25365,0.17
"Nissan",2001,387808,2.58
"Opel",2001,1551912,10.31
"Peugeot",2001,1287066,8.55
"Porsche",2001,23789,0.16
"Renault",2001,1583400,10.52
"Land Rover",2001,85225,0.57
"Seat",2001,410327,2.73
"Skoda",2001,252822,1.68
"Subaru",2001,36393,0.24
"Suzuki",2001,170662,1.13
"Toyota",2001,585711,3.58
"Volkswagen",2001,1613585,10.72
"Volvo",2001,223684,1.49
"Alfa Romeo",2002,169820,1.16
"Aston Martin",2002,796,0.01
"Audi",2002,549385,3.74
"BMW",2002,516000,3.51
"Citroen",2002,895487,6.1
"Ferrari",2002,2034,0.01
"Fiat",2002,902682,6.15
"Ford",2002,1289624,8.78
"Honda",2002,184011,1.25
"Hyundai",2002,233436,1.59
"Jaguar",2002,52385,0.36
"Jeep",2002,42945,0.29
"Kia",2002,77265,0.53
"Lancia",2002,109896,0.75
"Lexus",2002,19435,0.13
"Mazda",2002,159970,1.09
"Mercedes Benz",2002,741148,5.05
"Mini",2002,105730,0.72
"Nissan",2002,371711,2.53
"Opel",2002,1386364,9.44
"Peugeot",2002,1289702,8.78
"Porsche",2002,25186,0.17
"Renault",2002,1561696,10.63
"Land Rover",2002,86331,0.59
"Seat",2002,382398,2.6
"Skoda",2002,249683,1.7
"Subaru",2002,34253,0.23
"Suzuki",2002,197750,1.35
"Toyota",2002,670709,4.27
"Volkswagen",2002,1501393,10.22
"Volvo",2002,231818,1.58
"Alfa Romeo",2003,159611,1.11
"Aston Martin",2003,709,0
"Audi",2003,542074,3.75
"BMW",2003,506202,3.51
"Citroen",2003,918203,6.36
"Ferrari",2003,2227,0.02
"Fiat",2003,791201,5.48
"Ford",2003,1235596,8.56
"Honda",2003,195751,1.36
"Hyundai",2003,251876,1.74
"Jaguar",2003,48971,0.34
"Jeep",2003,39981,0.28
"Kia",2003,110424,0.76
"Lancia",2003,99511,0.69
"Lexus",2003,18318,0.13
"Mazda",2003,209209,1.45
"Mercedes Benz",2003,717559,4.97
"Mini",2003,116797,0.81
"Nissan",2003,409511,2.84
"Opel",2003,1346836,9.33
"Peugeot",2003,1201837,8.32
"Porsche",2003,33776,0.23
