"","Drzava","Leto","Stevilo"
"1","Belgium",1990,478219
"2","Bulgaria",1990,46433
"3","Denmark",1990,80837
"4","Germany (until 1990 former territory of the FRG)",1990,3040783
"5","Ireland",1990,83420
"6","Greece",1990,132487
"7","Spain",1990,1007014
"8","France",1990,2309130
"9","Croatia",1990,66214
"10","Italy",1990,2395909
"11","Cyprus",1990,19532
"12","Luxembourg",1990,38648
"13","Hungary",1990,143073
"14","Malta",1990,8218
"15","Netherlands",1990,502671
"16","Austria",1990,288636
"17","Poland",1990,358055
"18","Portugal",1990,212348
"19","Finland",1990,139742
"20","Sweden",1990,235192
"21","United Kingdom",1990,2075982
"22","Norway",1990,63668
"23","Switzerland",1990,322974
"24","Turkey",1990,218059
"25","Belgium",1991,46766
"26","Bulgaria",1991,31093
"27","Denmark",1991,83828
"28","Ireland",1991,68533
"29","Greece",1991,176862
"30","Spain",1991,914061
"31","France",1991,2031274
"32","Croatia",1991,85813
"33","Italy",1991,2217257
"34","Cyprus",1991,17681
"35","Luxembourg",1991,44055
"36","Netherlands",1991,490407
"37","Austria",1991,303723
"38","Poland",1991,734885
"39","Portugal",1991,231176
"40","Finland",1991,92979
"41","Sweden",1991,191755
"42","United Kingdom",1991,1665664
"43","Norway",1991,55111
"44","Switzerland",1991,310193
"45","Belgium",1992,485697
"46","Bulgaria",1992,44186
"47","Denmark",1992,84170
"48","Germany (until 1990 former territory of the FRG)",1992,3929558
"49","Estonia",1992,36284
"50","Ireland",1992,67861
"51","Greece",1992,206652
"52","Spain",1992,1008454
"53","France",1992,2105700
"54","Croatia",1992,31928
"55","Italy",1992,2341402
"56","Cyprus",1992,18178
"57","Luxembourg",1992,37133
"58","Hungary",1992,45122
"59","Netherlands",1992,492130
"60","Austria",1992,320094
"61","Poland",1992,471026
"62","Portugal",1992,280035
"63","Slovenia",1992,31191
"64","Finland",1992,68891
"65","Sweden",1992,157295
"66","United Kingdom",1992,1663846
"67","Norway",1992,61648
"68","Switzerland",1992,286289
"69","Turkey",1992,317044
"70","Belgium",1993,392530
"71","Bulgaria",1993,83713
"72","Denmark",1993,82205
"73","Germany (until 1990 former territory of the FRG)",1993,3194204
"74","Estonia",1993,53168
"75","Ireland",1993,60792
"76","Greece",1993,155646
"77","Spain",1993,775461
"78","France",1993,1721222
"79","Croatia",1993,59337
"80","Italy",1993,1645162
"81","Cyprus",1993,12968
"82","Luxembourg",1993,30679
"83","Hungary",1993,63058
"84","Netherlands",1993,391934
"85","Austria",1993,285162
"86","Poland",1993,477353
"87","Portugal",1993,248462
"88","Slovenia",1993,59878
"89","Slovakia",1993,41694
"90","Finland",1993,56003
"91","Sweden",1993,127738
"92","United Kingdom",1993,1845714
"93","Iceland",1993,5662
"94","Norway",1993,63988
"95","Switzerland",1993,256917
"96","Turkey",1993,441534
"97","Belgium",1994,403981
"98","Bulgaria",1994,76529
"99","Denmark",1994,139251
"100","Germany (until 1990 former territory of the FRG)",1994,3209224
"101","Estonia",1994,51217
"102","Ireland",1994,77773
"103","Greece",1994,118088
"104","Spain",1994,938971
"105","France",1994,1972919
"106","Croatia",1994,58499
"107","Italy",1994,1610561
"108","Cyprus",1994,13358
"109","Luxembourg",1994,30124
"110","Hungary",1994,45833
"111","Netherlands",1994,433913
"112","Austria",1994,273663
"113","Poland",1994,486600
"114","Portugal",1994,243254
"115","Slovenia",1994,47217
"116","Finland",1994,67434
"117","Sweden",1994,159578
"118","United Kingdom",1994,1982929
"119","Iceland",1994,5570
"120","Norway",1994,91336
"121","Switzerland",1994,265892
"122","Turkey",1994,244289
"123","Belgium",1995,370165
"124","Bulgaria",1995,56702
"125","Denmark",1995,135058
"126","Germany (until 1990 former territory of the FRG)",1995,3314061
"127","Estonia",1995,44471
"128","Ireland",1995,82730
"129","Greece",1995,133757
"130","Spain",1995,870497
"131","France",1995,1930504
"132","Croatia",1995,67576
"133","Italy",1995,1766101
"134","Cyprus",1995,17938
"135","Latvia",1995,49322
"136","Lithuania",1995,154850
"137","Hungary",1995,55970
"138","Malta",1995,10102
"139","Austria",1995,279610
"140","Poland",1995,450769
"141","Portugal",1995,228812
"142","Slovenia",1995,61700
"143","Finland",1995,80145
"144","Sweden",1995,175061
"145","United Kingdom",1995,1938100
"146","Iceland",1995,6931
"147","Liechtenstein",1995,2
"148","Norway",1995,97880
"149","Switzerland",1995,267975
"150","Turkey",1995,200658
"151","Belgium",1996,408285
"152","Bulgaria",1996,69500
"153","Denmark",1996,142175
"154","Germany (until 1990 former territory of the FRG)",1996,3496320
"155","Estonia",1996,35621
"156","Ireland",1996,109333
"157","Greece",1996,141589
"158","Spain",1996,968363
"159","France",1996,2132091
"160","Croatia",1996,73584
"161","Italy",1996,1843366
"162","Cyprus",1996,20402
"163","Latvia",1996,52112
"164","Lithuania",1996,122142
"165","Hungary",1996,62660
"166","Malta",1996,10624
"167","Austria",1996,307671
"168","Poland",1996,627349
"169","Portugal",1996,268542
"170","Slovenia",1996,59358
"171","Slovakia",1996,107576
"172","Finland",1996,96163
"173","Finland",1996,9233
"174","Finland",1996,49278
"175","Finland",1996,31395
"176","Finland",1996,5919
"177","Sweden",1996,200154
"178","United Kingdom",1996,2105914
"179","Iceland",1996,9515
"180","Liechtenstein",1996,2
"181","Norway",1996,146835
"182","Switzerland",1996,272214
"183","Turkey",1996,219230
"184","Bulgaria",1997,28166
"185","Denmark",1997,152869
"186","Germany (until 1990 former territory of the FRG)",1997,3528179
"187","Estonia",1997,9448
"188","Ireland",1997,125818
"189","Greece",1997,166778
"190","Spain",1997,1091190
"191","France",1997,1713030
"192","Croatia",1997,109144
"193","Italy",1997,2389892
"194","Cyprus",1997,20290
"195","Latvia",1997,71513
"196","Lithuania",1997,173057
"197","Hungary",1997,70827
"198","Malta",1997,9226
"199","Netherlands",1997,478318
"200","Austria",1997,275001
"201","Poland",1997,722245
"202","Portugal",1997,287730
"203","Romania",1997,125142
"204","Slovenia",1997,64357
"205","Slovakia",1997,85551
"206","Finland",1997,104963
"207","Finland",1997,8656
"208","Finland",1997,48956
"209","Finland",1997,36881
"210","Finland",1997,10012
"211","Sweden",1997,258944
"212","United Kingdom",1997,2250870
"213","Iceland",1997,11734
"214","Liechtenstein",1997,2
"215","Norway",1997,154654
"216","Switzerland",1997,270625
"217","Turkey",1997,299108
"218","Belgium",1998,463724
"219","Bulgaria",1998,70797
"220","Denmark",1998,162708
"221","Germany (until 1990 former territory of the FRG)",1998,3735987
"222","Estonia",1998,8400
"223","Ireland",1998,138538
"224","Greece",1998,183657
"225","Spain",1998,1282970
"226","France",1998,1943553
"227","France",1998,699634
"228","France",1998,681762
"229","France",1998,423755
"230","France",1998,138402
"231","Croatia",1998,85893
"232","Italy",1998,2437718
"233","Cyprus",1998,24856
"234","Latvia",1998,57363
"235","Lithuania",1998,147105
"236","Luxembourg",1998,36353
"237","Hungary",1998,101328
"238","Malta",1998,10750
"239","Netherlands",1998,543110
"240","Austria",1998,295865
"241","Poland",1998,557783
"242","Portugal",1998,323981
"243","Romania",1998,105986
"244","Slovenia",1998,71022
"245","Slovakia",1998,76007
"246","Finland",1998,126386
"247","Finland",1998,9780
"248","Finland",1998,52965
"249","Finland",1998,51615
"250","Finland",1998,11386
"251","Sweden",1998,286671
"252","United Kingdom",1998,2362589
"253","Iceland",1998,15064
"254","Liechtenstein",1998,2
"255","Norway",1998,141090
"256","Switzerland",1998,295165
"257","Turkey",1998,271843
"258","Belgium",1999,504203
"259","Bulgaria",1999,103459
"260","Denmark",1999,144259
"261","Germany (until 1990 former territory of the FRG)",1999,3802176
"262","Estonia",1999,6864
"263","Ireland",1999,170322
"264","Greece",1999,268716
"265","Spain",1999,1502531
"266","France",1999,2148423
"267","France",1999,717887
"268","France",1999,743891
"269","France",1999,524282
"270","France",1999,162363
"271","Croatia",1999,89846
"272","Italy",1999,2312309
"273","Cyprus",1999,20133
"274","Latvia",1999,45861
"275","Lithuania",1999,142069
"276","Luxembourg",1999,40989
"277","Hungary",1999,126085
"278","Hungary",1999,59009
"279","Hungary",1999,54260
"280","Hungary",1999,10449
"281","Hungary",1999,2369
"282","Malta",1999,13341
"283","Netherlands",1999,611776
"284","Austria",1999,314182
"285","Austria",1999,46919
"286","Austria",1999,100460
"287","Austria",1999,123374
"288","Austria",1999,43429
"289","Poland",1999,599250
"290","Portugal",1999,351575
"291","Romania",1999,90047
"292","Slovenia",1999,81869
"293","Slovakia",1999,58152
"294","Finland",1999,137017
"295","Finland",1999,9838
"296","Finland",1999,59903
"297","Finland",1999,53119
"298","Finland",1999,13461
"299","Sweden",1999,327710
"300","Sweden",1999,11239
"301","Sweden",1999,69247
"302","Sweden",1999,132186
"303","Sweden",1999,115019
"304","United Kingdom",1999,2414660
"305","Iceland",1999,17007
"306","Iceland",1999,2149
"307","Iceland",1999,6769
"308","Iceland",1999,4157
"309","Iceland",1999,3932
"310","Liechtenstein",1999,2
"311","Norway",1999,123843
"312","Switzerland",1999,314691
"313","Belgium",2000,531640
"314","Bulgaria",2000,98185
"315","Denmark",2000,113631
"316","Germany (until 1990 former territory of the FRG)",2000,3378343
"317","Estonia",2000,10240
"318","Estonia",2000,495
"319","Estonia",2000,4743
"320","Estonia",2000,3395
"321","Estonia",2000,1607
"322","Ireland",2000,225269
"323","Greece",2000,302620
"324","Spain",2000,1467160
"325","France",2000,2133884
"326","France",2000,645293
"327","France",2000,767057
"328","France",2000,570015
"329","France",2000,151519
"330","Croatia",2000,92759
"331","Italy",2000,2359674
"332","Cyprus",2000,19056
"333","Cyprus",2000,7955
"334","Cyprus",2000,7400
"335","Cyprus",2000,1908
"336","Cyprus",2000,1793
"337","Latvia",2000,35745
"338","Latvia",2000,5573
"339","Latvia",2000,16839
"340","Latvia",2000,9146
"341","Latvia",2000,4187
"342","Lithuania",2000,115808
"343","Luxembourg",2000,42304
"344","Hungary",2000,130323
"345","Hungary",2000,55037
"346","Hungary",2000,58167
"347","Hungary",2000,14392
"348","Hungary",2000,2727
"349","Malta",2000,13055
"350","Malta",2000,30
"351","Malta",2000,1730
"352","Malta",2000,5769
"353","Malta",2000,5527
