"","Znamka","Leto","St.prodanih","Delez.na.trgu(%)"
"1","Alfa Romeo",1990,203787,1.51
"2","Audi",1990,369189,2.73
"3","BMW",1990,363598,2.69
"4","Citroen",1990,639303,4.73
"5","Fiat",1990,1339953,9.91
"6","Ford",1990,1536912,11.37
"7","Honda",1990,163393,1.21
"8","Jaguar",1990,18448,0.14
"9","Lancia",1990,300087,2.22
"10","Mazda",1990,281078,2.08
"11","Mercedes Benz",1990,438077,3.24
"12","Nissan",1990,395400,2.93
"13","Opel",1990,1548255,11.45
"14","Peugeot",1990,1079450,7.99
"15","Renault",1990,1315495,9.73
"16","Land Rover",1990,28088,0.21
"17","Seat",1990,313718,2.32
"18","Skoda",1990,29152,0.22
"19","Toyota",1990,363285,2.69
"20","Volkswagen",1990,1406891,0
"21","Volvo",1990,234539,1.74
"22","Alfa Romeo",1991,180035,1.34
"23","Audi",1991,395382,2.95
"24","BMW",1991,413831,3.08
"25","Citroen",1991,611417,4.56
"26","Fiat",1991,1205041,8.98
"27","Ford",1991,1587798,11.84
"28","Honda",1991,172228,1.28
"29","Jaguar",1991,12050,0.09
"30","Lancia",1991,265172,1.98
"31","Mazda",1991,285011,2.12
"32","Mercedes Benz",1991,453727,3.38
"33","Nissan",1991,443171,3.3
"34","Opel",1991,1553637,11.58
"35","Peugeot",1991,1013247,7.55
"36","Renault",1991,1343241,10.01
"37","Land Rover",1991,24414,0.18
"38","Seat",1991,313710,2.34
"39","Skoda",1991,47689,0.36
"40","Toyota",1991,362002,2.7
"41","Volkswagen",1991,1447522,0
"42","Volvo",1991,198697,1.48
"43","Alfa Romeo",1992,156184,1.16
"44","Audi",1992,414938,3.07
"45","BMW",1992,444155,3.29
"46","Citroen",1992,645253,4.78
"47","Fiat",1992,1190770,8.82
"48","Ford",1992,1509898,11.19
"49","Honda",1992,176851,1.31
"50","Jaguar",1992,10732,0.08
"51","Lancia",1992,223127,1.65
"52","Mazda",1992,268807,1.99
"53","Mercedes Benz",1992,411143,3.05
"54","Nissan",1992,440601,3.26
"55","Opel",1992,1617551,11.98
"56","Peugeot",1992,993368,7.36
"57","Renault",1992,1432445,10.61
"58","Land Rover",1992,24669,0.18
"59","Seat",1992,326650,2.42
"60","Skoda",1992,51344,0.38
"61","Toyota",1992,339180,2.51
"62","Volkswagen",1992,1574089,0
"63","Volvo",1992,200558,1.49
"64","Alfa Romeo",1993,114292,1.02
"65","Audi",1993,308060,2.74
"66","BMW",1993,366800,3.26
"67","Citroen",1993,552635,4.91
"68","Fiat",1993,882259,7.84
"69","Ford",1993,1293403,11.49
"70","Honda",1993,161673,1.44
"71","Jaguar",1993,10787,0.1
"72","Lancia",1993,163636,1.45
"73","Mazda",1993,192317,1.71
"74","Mercedes Benz",1993,354718,3.15
"75","Nissan",1993,399235,3.55
"76","Opel",1993,1422720,12.64
"77","Peugeot",1993,839880,7.46
"78","Renault",1993,1195732,10.63
"79","Land Rover",1993,29839,0.27
"80","Seat",1993,262536,2.33
"81","Skoda",1993,51290,0.46
"82","Toyota",1993,315508,2.8
"83","Volkswagen",1993,1212689,0
"84","Volvo",1993,171612,1.53
"85","Alfa Romeo",1994,101548,0.85
"86","Audi",1994,312690,2.62
"87","BMW",1994,387855,3.25
"88","Citroen",1994,609103,5.1
"89","Fiat",1994,1013732,8.49
"90","Ford",1994,1403670,11.76
"91","Honda",1994,168152,1.41
"92","Jaguar",1994,10903,0.09
"93","Lancia",1994,163535,1.37
"94","Mazda",1994,168152,1.41
"95","Mercedes Benz",1994,419934,3.52
"96","Nissan",1994,387698,3.25
"97","Opel",1994,1489507,12.48
"98","Peugeot",1994,920906,7.71
"99","Renault",1994,1308986,10.97
"100","Land Rover",1994,33971,0.28
"101","Seat",1994,301123,2.52
"102","Skoda",1994,57731,0.48
"103","Toyota",1994,312835,2.62
"104","Volkswagen",1994,1217235,0
"105","Volvo",1994,200602,1.68
"106","Alfa Romeo",1995,130358,1.08
"107","Audi",1995,376980,3.13
"108","BMW",1995,392588,3.26
"109","Citroen",1995,579176,4.81
"110","Fiat",1995,1027562,8.54
"111","Ford",1995,1410289,11.72
"112","Honda",1995,177050,1.47
"113","Jaguar",1995,15973,0.13
"114","Jeep",1995,24019,0.2
"115","Lancia",1995,162416,1.35
"116","Mazda",1995,163794,1.36
"117","Mercedes Benz",1995,404618,3.36
"118","Nissan",1995,366608,3.05
"119","Opel",1995,1502346,12.48
"120","Peugeot",1995,861696,7.16
"121","Renault",1995,1241584,10.32
"122","Land Rover",1995,42401,0.35
"123","Seat",1995,287721,2.39
"124","Skoda",1995,64616,0.54
"125","Toyota",1995,306258,2.54
"126","Volkswagen",1995,1287799,0
"127","Volvo",1995,218447,1.82
"128","Alfa Romeo",1996,117543,0.92
"129","Audi",1996,411213,3.21
"130","BMW",1996,428759,3.35
"131","Citroen",1996,621407,4.85
"132","Fiat",1996,1140780,8.91
"133","Ford",1996,1466791,11.45
"134","Honda",1996,193195,1.51
"135","Jaguar",1996,14983,0.12
"136","Jeep",1996,28529,0.22
"137","Lancia",1996,159251,1.24
"138","Mazda",1996,172334,1.35
"139","Mercedes Benz",1996,462726,3.61
"140","Nissan",1996,369930,2.89
"141","Opel",1996,1532746,11.97
"142","Peugeot",1996,906788,7.08
"143","Renault",1996,1290208,10.08
"144","Land Rover",1996,41099,0.32
"145","Seat",1996,285120,2.23
"146","Skoda",1996,81540,0.64
"147","Toyota",1996,333935,2.61
"148","Volkswagen",1996,1419469,0
"149","Volvo",1996,206173,1.61
"150","Alfa Romeo",1997,128107,0.95
"151","Aston Martin",1997,488,0
"152","Audi",1997,460721,3.42
"153","BMW",1997,430694,3.2
"154","Citroen",1997,625671,4.64
"155","Ferrari",1997,1996,0.01
"156","Fiat",1997,1272570,9.44
"157","Ford",1997,1491688,11.07
"158","Honda",1997,217188,1.61
"159","Hyundai",1997,149676,1.11
"160","Jaguar",1997,17222,0.13
"161","Jeep",1997,34611,0.26
"162","Kia",1997,37395,0.28
"163","Lancia",1997,176211,1.31
"164","Lexus",1997,3408,0.03
"165","Mazda",1997,184726,1.37
"166","Mercedes Benz",1997,489373,3.63
